,- epsilon_y,nu AveragePoisson,nu RelativePoisson
0,0.00562400023503675,0.41434268425901905,0.41434268425901905
1,0.008619466404459337,0.3409950431339694,0.2032845407963027
2,0.010982334125748507,0.3938987795894192,0.5868854520720108
3,0.013808398932083825,0.37256552912739593,0.2896626586634906
4,0.01667509506166928,0.35937689282117147,0.2958494231298351
5,0.01972244430539534,0.3473605187824538,0.28160692004258914
6,0.021810269223147966,0.4016667221532469,0.9146652318993801
7,0.024490686363065492,0.3902081434139543,0.2969709067552228
8,0.027634925685309793,0.3540798986069142,0.07267462956215484
9,0.02997278951536845,0.3777548949374137,0.6576072780323357
10,0.03294950276636804,0.3507915625695223,0.07929537951448827
11,0.03568617866155433,0.33599310070524524,0.15782002548188334
12,0.03783463801554113,0.3389979550890313,0.3889089623383694
13,0.04039691176939423,0.3166103981369992,-0.013965174460856497
14,0.042867921320255645,0.29367408447205273,-0.08129663918014339
15,0.045258918419179145,0.2848312094041588,0.12628828485356094
16,0.048181873304033146,0.24546764441982288,-0.3640362468463959
17,0.05070101534551326,0.23171118930643267,-0.03139893567745057
18,0.05447472762948749,0.1939368247479633,-0.3135736829500434
